months_as_customer,age,policy_number,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,fraud_flag,reviews
174,79,668910,10/16/00,SC,250/500,1000,1716.92,6000000,428669,FEMALE,Associate,armed-forces,reading,husband,40064,-24195,03/27/15,Single Vehicle Collision,?,Total Loss,Other,VA,Riverwood,8515 3rd Hwy,14,3,YES,0,0,NO,63489,12823,14104,36562,Honda,RAM,2004,Y,1,
406,78,514428,05/16/08,NC,250/500,1000,1565.83,4000000,558881,MALE,Masters,machine-op-inspct,bungie-jumping,own-child,77953,-37108,07/03/15,Single Vehicle Collision,Front Collision,Minor Damage,Fire,WV,Northbend,3480 2nd Drive,23,3,YES,1,2,NO,111803,6553,9804,95446,Honda,E400,2007,Y,1,
226,59,472198,09/10/95,NY,100/300,2000,1947.95,0,450704,MALE,High School,sales,skydiving,unmarried,4119,-13445,12/13/15,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,NC,Springfield,9672 Maple Drive,19,2,NO,2,0,YES,57989,10538,10630,36821,Dodge,Highlander,2010,N,0,
461,41,151808,02/13/92,NY,100/300,2000,1013.73,3000000,555061,FEMALE,PhD,armed-forces,golf,own-child,57094,-4207,11/14/15,Parked Car,Rear Collision,Minor Damage,,OH,Arlington,8834 5th Ridge,8,2,YES,1,1,NO,100491,20174,14046,66271,Toyota,A5,2009,Y,1,
225,65,265047,06/01/10,OH,100/300,1000,1320.89,4000000,565484,MALE,Masters,tech-support,board-games,own-child,6690,-32219,08/16/14,Single Vehicle Collision,Front Collision,Total Loss,Other,NY,Hillsdale,3695 4th St,1,2,YES,1,0,NO,22642,2092,4449,16101,Audi,E400,2005,N,0,
139,27,176771,12/02/01,NC,250/500,1000,964.98,0,407890,MALE,Associate,tech-support,reading,husband,17798,-54847,06/07/14,Multi-vehicle Collision,Side Collision,Total Loss,Fire,IN,Columbus,2723 1st Ave,10,1,?,2,0,YES,92337,17369,16357,58611,Honda,95,2011,N,0,
394,57,142600,10/02/15,IN,500/1000,1000,1805.2,6000000,642617,FEMALE,Associate,priv-house-serv,dancing,unmarried,67677,-75630,05/27/15,Multi-vehicle Collision,Front Collision,Major Damage,Other,SC,Riverwood,7941 3rd Hwy,13,2,NO,0,3,YES,49756,11756,10060,27940,Honda,92x,1998,N,0,
410,44,279499,03/03/04,SC,250/500,2000,1722.74,5000000,660496,FEMALE,High School,sales,skydiving,unmarried,22755,-78285,12/13/14,Single Vehicle Collision,?,Minor Damage,Police,IN,Springfield,6136 5th Ridge,8,2,NO,2,3,YES,52186,4237,12556,35393,Nissan,95,2015,N,0,
431,70,784711,03/27/95,NC,250/500,2000,1093.08,3000000,646195,MALE,PhD,sales,bungie-jumping,other-relative,55352,-78473,08/26/15,Parked Car,Rear Collision,Minor Damage,Police,OH,Hillsdale,6000 2nd Drive,15,2,?,1,0,?,36861,4689,4284,27888,Honda,A5,1997,N,0,
445,78,667146,11/04/11,NC,100/300,500,1778.4,4000000,654787,MALE,PhD,priv-house-serv,board-games,wife,52764,-17678,12/25/14,Parked Car,Rear Collision,Minor Damage,Police,VA,Springfield,8862 1st Ave,9,1,?,2,0,YES,113847,7463,8244,98140,Mercedes,95,2001,N,0,
13,44,161319,12/01/08,NY,250/500,1000,1370.37,0,487139,MALE,Associate,armed-forces,reading,wife,35035,-45349,05/19/15,Parked Car,Rear Collision,Minor Damage,Police,IL,Springfield,3146 Maple Drive,11,1,YES,1,0,YES,4015,698,848,2469,Audi,A3,2014,N,0,
256,25,345205,08/20/00,NC,500/1000,2000,1174.9,0,516291,MALE,MD,sales,board-games,wife,55339,-18849,12/02/15,Single Vehicle Collision,Side Collision,Major Damage,Other,VA,Springfield,2758 Maple Drive,19,2,NO,2,2,NO,111124,22533,7593,80998,Honda,RSX,2011,Y,1,
134,79,936256,10/05/99,VA,100/300,1000,1224.32,0,436829,MALE,Masters,exec-managerial,skydiving,wife,61161,-73563,08/12/14,Multi-vehicle Collision,?,Minor Damage,Police,IN,Arlington,9951 Elm Lane,9,1,YES,1,3,NO,37956,5253,5894,26809,Mercedes,F150,2005,N,0,
123,60,954833,10/23/01,VA,250/500,2000,1126.59,5000000,693698,MALE,High School,machine-op-inspct,skydiving,other-relative,47923,-9273,10/07/14,Vehicle Theft,Front Collision,Major Damage,,SC,Columbus,8452 4th St,10,2,NO,1,2,NO,29998,5641,6794,17563,Audi,95,2000,N,0,
121,34,805536,08/09/02,NY,250/500,2000,1726.48,5000000,658817,MALE,High School,priv-house-serv,reading,wife,44422,-39051,07/15/14,Single Vehicle Collision,Rear Collision,Major Damage,Police,OH,Riverwood,3044 3rd Hwy,23,3,YES,0,1,NO,116365,15708,6036,94621,Toyota,95,2003,Y,1,
412,26,474580,01/15/03,IL,500/1000,2000,932.26,0,652570,MALE,Associate,exec-managerial,reading,husband,9154,-16341,08/24/14,Single Vehicle Collision,Side Collision,Total Loss,Other,WV,Hillsdale,8703 Elm Lane,4,3,NO,1,0,YES,13986,2038,2433,9515,Mercedes,Camry,2003,N,0,No communication during claim process. Left in dark.
396,41,774640,08/12/94,IL,100/300,1000,1515.86,5000000,468347,FEMALE,Masters,priv-house-serv,board-games,unmarried,58681,-38750,06/01/15,Single Vehicle Collision,?,Total Loss,Police,IN,Northbend,3664 5th Ridge,1,1,YES,1,3,?,38832,3579,5061,30192,Honda,E400,2006,N,0,
107,60,661797,12/09/12,SC,250/500,2000,1626.26,0,594619,FEMALE,MD,tech-support,sleeping,other-relative,40091,-43117,11/04/14,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,IL,Riverwood,7243 4th St,21,1,NO,2,1,YES,61741,13793,5455,42493,Accura,Camry,2014,N,0,Website app buggy.
205,37,539896,11/29/07,WV,250/500,2000,1581.66,5000000,688473,MALE,High School,tech-support,reading,wife,59469,-77457,07/12/15,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,IN,Springfield,1801 1st Ave,4,1,YES,0,2,YES,8457,1274,1684,5499,Saab,F150,1995,N,0,
370,27,608954,03/02/08,SC,250/500,2000,1030.2,6000000,415788,MALE,MD,tech-support,reading,other-relative,69958,-16107,06/11/14,Single Vehicle Collision,Rear Collision,Minor Damage,Other,IN,Hillsdale,7998 1st Ave,6,3,NO,2,1,YES,72210,12927,9766,49517,Nissan,RSX,1995,N,0,
74,41,518635,12/20/99,OH,100/300,2000,847.1,3000000,484434,FEMALE,Associate,machine-op-inspct,skydiving,wife,69844,-44650,07/21/14,Single Vehicle Collision,Front Collision,Total Loss,Police,NC,Columbus,3032 Elm Lane,22,3,YES,1,0,YES,56929,9964,6953,40012,Accura,Highlander,2003,Y,1,Service rude dismissive.
315,76,547313,11/07/02,NY,500/1000,1000,1955.26,0,494975,FEMALE,Masters,armed-forces,reading,husband,73496,-41740,10/29/14,Multi-vehicle Collision,Side Collision,Major Damage,Police,OH,Hillsdale,1966 3rd Hwy,11,1,NO,0,2,YES,49962,5481,7372,37109,Accura,RAM,2014,N,0,
219,37,266889,11/27/15,VA,250/500,500,1027.03,6000000,518778,MALE,High School,protective-serv,dancing,husband,11899,-2912,12/09/15,Multi-vehicle Collision,?,Minor Damage,Police,NC,Arlington,9013 4th St,2,1,NO,0,0,NO,67802,5872,4927,57003,Chevrolet,Highlander,1995,N,0,Claim denied without proper investigation.
463,74,459716,01/17/97,VA,100/300,1000,1892.76,5000000,506605,FEMALE,Associate,exec-managerial,sleeping,husband,50782,-78194,07/10/15,Vehicle Theft,Front Collision,Total Loss,Police,VA,Riverwood,5834 3rd Hwy,2,1,YES,2,3,?,44687,10441,8912,25334,Mercedes,A5,1995,Y,1,
369,43,635796,07/24/13,OH,250/500,2000,1003.76,5000000,463596,FEMALE,PhD,machine-op-inspct,skydiving,unmarried,21887,-78536,06/28/15,Multi-vehicle Collision,Front Collision,Total Loss,,IN,Columbus,8559 4th St,1,2,YES,1,1,NO,111117,27219,25089,58809,Saab,RAM,1998,Y,1,
116,79,501527,06/28/15,NC,250/500,1000,1637.3,5000000,510805,FEMALE,Masters,tech-support,sleeping,unmarried,30047,-37989,10/26/14,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NC,Northbend,2376 1st Ave,23,1,YES,2,3,YES,11180,1052,1814,8314,Mercedes,F150,2009,N,0,
417,76,283471,04/28/96,IL,250/500,2000,1797.1,0,559340,MALE,PhD,machine-op-inspct,bungie-jumping,unmarried,7551,-53174,01/22/14,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Hillsdale,8467 5th Ridge,23,2,?,0,3,NO,88596,10059,21217,57320,Honda,95,1998,N,0,
399,72,996414,10/28/99,WV,250/500,500,1381.79,5000000,538323,MALE,Masters,sales,board-games,own-child,53827,-44006,03/11/14,Single Vehicle Collision,Rear Collision,Minor Damage,Police,VA,Arlington,9406 Elm Lane,21,2,YES,0,0,YES,66763,14414,16082,36267,Toyota,Civic,2001,N,0,
107,21,381503,12/12/14,NY,250/500,500,1561.56,4000000,646946,FEMALE,PhD,sales,sleeping,other-relative,23921,-48097,03/25/14,Single Vehicle Collision,Front Collision,Total Loss,Police,VA,Springfield,5927 5th Ridge,17,3,NO,0,2,?,35923,2911,4894,28118,Accura,92x,2000,N,0,
259,41,182868,03/18/99,VA,500/1000,1000,1835.44,4000000,633586,FEMALE,High School,machine-op-inspct,golf,unmarried,64045,-32864,04/09/14,Vehicle Theft,Side Collision,Total Loss,Fire,OH,Springfield,3060 4th St,11,2,YES,0,1,YES,37385,3699,7293,26393,Ford,92x,2005,N,0,
397,68,506722,04/09/00,NY,250/500,2000,1846.94,5000000,546934,MALE,MD,tech-support,skydiving,other-relative,21311,-30510,12/19/14,Multi-vehicle Collision,Side Collision,Minor Damage,Police,IN,Northbend,5361 2nd Drive,19,1,?,0,1,YES,82402,7408,15426,59568,Ford,A5,1996,N,0,
116,46,969530,04/23/99,WV,250/500,500,1833.71,0,628712,MALE,High School,priv-house-serv,bungie-jumping,husband,68915,-46948,02/17/15,Single Vehicle Collision,Side Collision,Total Loss,Police,IN,Northbend,3094 Elm Lane,3,2,NO,2,3,YES,21754,1970,4336,15448,Mercedes,A5,1996,N,0,
123,55,675731,02/28/96,IL,100/300,2000,1273.79,6000000,567803,MALE,Masters,tech-support,board-games,other-relative,77267,-38361,07/10/15,Multi-vehicle Collision,Rear Collision,Total Loss,,IN,Arlington,9174 Maple Drive,8,2,YES,2,1,YES,91712,18132,6520,67060,Accura,Civic,2013,Y,1,
83,37,328085,04/02/94,NC,500/1000,1000,1853.32,5000000,690059,FEMALE,Associate,protective-serv,camping,other-relative,42264,-53067,09/12/14,Vehicle Theft,Side Collision,Minor Damage,,OH,Arlington,4143 2nd Drive,20,3,NO,2,0,YES,2764,441,619,1704,Dodge,92x,2015,N,0,
4,57,931032,06/21/12,OH,500/1000,500,1144.14,6000000,579157,FEMALE,MD,sales,golf,husband,49905,-44050,10/29/14,Single Vehicle Collision,Rear Collision,Major Damage,,VA,Arlington,4481 5th Ridge,13,3,YES,0,0,YES,61526,13848,14902,32776,Nissan,RAM,2010,N,0,Hidden charges appeared on bill after renewal.
249,48,818242,02/12/03,NC,100/300,2000,957.21,6000000,661106,MALE,PhD,protective-serv,skydiving,husband,10290,-59182,03/14/15,Vehicle Theft,Front Collision,Total Loss,,IN,Northbend,9064 5th Ridge,16,1,YES,0,3,YES,32417,3553,2778,26086,Chevrolet,A5,2014,N,0,
9,70,956360,02/21/14,NY,100/300,2000,1340.22,5000000,480610,FEMALE,High School,sales,board-games,wife,41723,-9282,06/22/15,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,WV,Arlington,5498 2nd Drive,6,1,YES,0,2,YES,11627,1395,893,9339,Accura,A5,2003,N,0,Extremely frustrated with processes.
291,32,307841,02/01/94,NC,100/300,1000,1877.8,6000000,463981,MALE,PhD,tech-support,skydiving,wife,69518,-52991,04/15/14,Multi-vehicle Collision,Side Collision,Major Damage,,OH,Riverwood,5088 Maple Drive,3,1,NO,0,0,YES,59404,6655,14637,38112,Chevrolet,RSX,2009,N,0,
208,30,507186,01/05/14,NC,500/1000,2000,1508.18,0,626131,FEMALE,MD,exec-managerial,camping,wife,65839,-35653,08/12/14,Multi-vehicle Collision,?,Minor Damage,,VA,Arlington,9300 2nd Drive,1,3,?,1,0,YES,75642,12233,9914,53495,Dodge,A3,2014,N,0,
92,77,452294,11/01/96,OH,100/300,1000,855.01,6000000,659016,MALE,High School,tech-support,bungie-jumping,wife,65118,-63779,09/15/14,Multi-vehicle Collision,?,Total Loss,Police,OH,Arlington,3992 1st Ave,9,2,NO,2,2,YES,20624,3608,1759,15257,Nissan,RSX,2007,N,0,
181,49,946733,08/10/07,NC,250/500,1000,1392.2,4000000,634623,MALE,High School,priv-house-serv,golf,husband,38680,-63688,06/23/15,Multi-vehicle Collision,Rear Collision,Major Damage,Police,IN,Hillsdale,9180 Elm Lane,2,3,NO,2,3,YES,56975,11943,6653,38379,Nissan,Civic,2000,N,0,
8,43,741271,08/09/09,IN,250/500,1000,939.19,5000000,578694,MALE,High School,armed-forces,golf,husband,61706,-25166,11/18/15,Multi-vehicle Collision,Front Collision,Total Loss,Police,OH,Springfield,2386 1st Ave,4,1,YES,1,3,?,16004,810,3997,11197,Audi,Pathfinder,1998,N,0,
72,26,286099,08/10/96,IL,250/500,500,1628.5,6000000,464354,FEMALE,Associate,sales,reading,own-child,49770,-24582,08/13/15,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,WV,Arlington,9181 Maple Drive,20,3,?,2,0,YES,9767,820,2076,6871,Honda,A3,2000,N,0,
236,38,932045,09/16/93,NC,250/500,2000,1514.15,4000000,528478,FEMALE,Associate,exec-managerial,dancing,other-relative,65911,-44168,02/02/14,Single Vehicle Collision,Front Collision,Minor Damage,Police,VA,Arlington,8645 Maple Drive,20,2,YES,2,1,YES,109477,6833,12841,89803,Chevrolet,A3,2013,Y,1,
39,67,387861,11/02/91,WV,500/1000,500,1219.26,0,545931,MALE,Associate,sales,reading,wife,28384,-46650,08/20/14,Vehicle Theft,?,Minor Damage,Police,NY,Riverwood,9194 2nd Drive,5,3,YES,1,2,YES,99754,14807,14890,70057,Honda,Civic,2007,Y,1,
364,75,492673,04/10/91,VA,250/500,2000,1467.28,6000000,661749,MALE,High School,sales,golf,husband,8278,-59363,07/28/15,Single Vehicle Collision,Front Collision,Major Damage,Police,VA,Columbus,8167 5th Ridge,19,2,YES,2,1,NO,92410,19638,6732,66040,Nissan,RAM,2003,Y,1,
129,22,392826,04/09/07,VA,100/300,1000,988.45,4000000,617285,MALE,PhD,armed-forces,camping,husband,37959,-35736,09/02/14,Vehicle Theft,Front Collision,Minor Damage,Ambulance,IL,Springfield,2903 2nd Drive,2,3,YES,0,1,YES,58289,3316,14343,40630,Dodge,A3,2011,Y,1,
459,39,648679,04/27/13,IN,500/1000,2000,1972.92,5000000,440228,FEMALE,PhD,tech-support,dancing,husband,77173,-9393,09/07/15,Multi-vehicle Collision,?,Minor Damage,Police,NC,Springfield,2063 2nd Drive,0,2,YES,0,3,YES,27541,5866,5851,15824,Mercedes,E400,2002,N,0,
85,24,225326,01/03/06,VA,250/500,1000,1421.12,0,411252,FEMALE,High School,sales,golf,unmarried,14580,-20898,12/25/15,Single Vehicle Collision,Rear Collision,Minor Damage,Police,OH,Riverwood,3066 Elm Lane,9,3,?,1,3,YES,90588,22126,21774,46688,Ford,Highlander,2011,N,0,
313,44,412709,04/26/94,NC,500/1000,500,1403.17,6000000,566125,MALE,PhD,exec-managerial,sleeping,husband,49464,-50422,01/31/15,Single Vehicle Collision,Front Collision,Major Damage,,IL,Northbend,5815 Elm Lane,18,3,YES,2,3,YES,11067,783,693,9591,Toyota,F150,1999,N,0,
258,21,979264,03/27/00,WV,100/300,1000,1129.06,0,512335,FEMALE,Associate,priv-house-serv,reading,husband,17710,-70304,07/10/14,Parked Car,Rear Collision,Major Damage,Police,IN,Columbus,8188 2nd Drive,11,3,YES,1,3,YES,29324,5696,2078,21550,Dodge,92x,2003,N,0,
458,56,288503,10/01/92,SC,100/300,1000,1416.67,5000000,573615,MALE,High School,exec-managerial,camping,other-relative,75401,-52032,07/28/15,Multi-vehicle Collision,?,Minor Damage,Fire,NC,Columbus,2610 1st Ave,19,3,NO,1,1,YES,49979,8658,9466,31855,Mercedes,RSX,2000,N,0,
309,46,412851,10/14/09,NY,100/300,1000,1881.7,6000000,683823,MALE,High School,sales,golf,wife,34746,-788,05/16/14,Multi-vehicle Collision,?,Major Damage,Other,OH,Hillsdale,7165 2nd Drive,8,1,YES,1,1,NO,27688,3978,5850,17860,Saab,A5,2010,N,0,
432,63,946310,01/03/05,IL,250/500,2000,1251.82,3000000,682183,FEMALE,High School,tech-support,board-games,husband,69017,-4825,04/25/15,Vehicle Theft,Front Collision,Total Loss,Police,IN,Arlington,9129 5th Ridge,8,1,?,1,2,YES,103818,20687,23004,60127,Ford,RAM,2005,Y,1,
232,24,511964,09/29/11,WV,500/1000,500,1335.81,5000000,664491,MALE,Masters,armed-forces,camping,husband,53742,-38067,07/07/14,Single Vehicle Collision,Side Collision,Total Loss,,VA,Hillsdale,8515 1st Ave,14,2,NO,1,0,YES,22718,2227,2084,18407,Dodge,92x,1999,N,0,
109,44,945142,11/17/02,WV,100/300,1000,1187.67,0,401789,MALE,Associate,armed-forces,sleeping,husband,17760,-49778,04/07/14,Single Vehicle Collision,Front Collision,Minor Damage,Police,IN,Columbus,9714 Maple Drive,2,1,NO,0,1,NO,26093,1577,6386,18130,Nissan,A5,2010,N,0,
95,65,646245,05/14/05,VA,250/500,1000,1102.93,6000000,621676,MALE,Masters,machine-op-inspct,skydiving,own-child,2342,-17642,10/14/14,Single Vehicle Collision,Front Collision,Minor Damage,Police,IN,Northbend,8103 Elm Lane,14,2,NO,2,3,YES,55847,6476,8941,40430,Nissan,RSX,2002,N,0,
433,31,978430,12/31/96,NY,250/500,500,1788.22,0,515305,MALE,High School,protective-serv,sleeping,unmarried,16485,-79075,01/16/15,Multi-vehicle Collision,Front Collision,Minor Damage,Police,NY,Springfield,3880 1st Ave,14,2,NO,0,0,YES,27456,4550,6517,16389,Dodge,92x,2011,N,0,
102,35,877262,04/17/90,WV,100/300,500,1851.39,4000000,558591,FEMALE,Masters,armed-forces,dancing,wife,20259,-24026,01/07/15,Multi-vehicle Collision,?,Minor Damage,Fire,NC,Springfield,3013 2nd Drive,21,2,YES,1,0,NO,20194,3622,3736,12836,Toyota,Tahoe,2006,N,0,
365,56,980398,12/14/91,IN,100/300,500,1591.99,0,620472,MALE,Masters,machine-op-inspct,camping,own-child,9491,-51767,04/23/14,Vehicle Theft,Rear Collision,Major Damage,,NC,Hillsdale,3020 Elm Lane,15,3,NO,0,2,YES,70400,12494,5731,52175,Accura,Civic,2005,N,0,
264,66,698880,01/08/02,VA,100/300,2000,1758.84,6000000,616299,FEMALE,Associate,protective-serv,camping,unmarried,11059,-23331,09/16/14,Parked Car,Side Collision,Minor Damage,Police,SC,Springfield,9438 1st Ave,21,3,?,0,0,YES,110387,25098,27185,58104,Saab,Highlander,2001,Y,1,
139,28,912634,10/25/10,IN,100/300,2000,1585.17,0,639125,MALE,Associate,tech-support,golf,own-child,65944,-58510,02/14/14,Vehicle Theft,Side Collision,Major Damage,,IL,Columbus,1423 4th St,7,2,YES,0,0,?,34543,5962,4432,24149,Honda,Civic,2001,N,0,Policy lapsed poor communication.
205,42,780821,03/28/98,VA,100/300,500,1710.22,0,694730,MALE,Masters,priv-house-serv,bungie-jumping,own-child,44368,-12636,01/08/15,Single Vehicle Collision,Front Collision,Minor Damage,Police,VA,Hillsdale,3150 1st Ave,10,3,NO,2,0,?,116523,9148,19827,87548,Accura,RSX,2008,Y,1,
398,56,604631,08/02/06,NC,250/500,1000,980.66,4000000,603895,FEMALE,Associate,exec-managerial,dancing,wife,8925,-6318,06/18/14,Vehicle Theft,Front Collision,Major Damage,Other,WV,Springfield,6026 2nd Drive,14,1,NO,1,1,?,51720,10313,10349,31058,Toyota,F150,1995,N,0,Terrible experience start to finish.
227,75,112855,10/04/04,VA,100/300,500,1206.24,0,462917,FEMALE,Associate,exec-managerial,dancing,wife,30277,-33598,09/14/15,Vehicle Theft,Front Collision,Major Damage,Police,NC,Arlington,1294 5th Ridge,9,1,YES,2,2,?,32895,7401,5014,20480,Chevrolet,Camry,2007,N,0,
432,57,378272,10/05/93,OH,250/500,1000,1565.53,0,570164,MALE,High School,armed-forces,sleeping,other-relative,73856,-77295,03/02/15,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,IN,Northbend,2080 Elm Lane,22,3,YES,2,2,YES,101237,17767,15700,67770,Saab,Highlander,2005,Y,1,
473,50,473730,04/02/01,OH,250/500,500,1634.32,0,558446,FEMALE,High School,machine-op-inspct,golf,own-child,52376,-64395,10/10/14,Vehicle Theft,?,Total Loss,,NY,Riverwood,7326 3rd Hwy,4,3,YES,0,1,YES,84369,10295,12152,61922,Toyota,95,2001,Y,1,
150,57,452420,07/11/97,NC,250/500,500,1885.26,0,594286,FEMALE,Associate,sales,skydiving,unmarried,30502,-45476,08/30/14,Single Vehicle Collision,Side Collision,Major Damage,,NC,Arlington,8197 3rd Hwy,0,2,?,1,0,?,9282,1628,1724,5930,Nissan,92x,2004,N,0,
263,24,765501,05/07/05,NY,250/500,1000,1314.57,6000000,598725,FEMALE,High School,protective-serv,board-games,wife,38066,-28583,10/03/15,Parked Car,Side Collision,Minor Damage,Police,IL,Riverwood,3601 3rd Hwy,5,1,YES,2,2,NO,117102,14302,11559,91241,Saab,Civic,1999,Y,1,
263,39,363365,07/22/11,OH,100/300,1000,1817.33,5000000,494400,MALE,PhD,machine-op-inspct,board-games,other-relative,15766,-11259,06/06/14,Single Vehicle Collision,Side Collision,Total Loss,Police,SC,Northbend,2018 4th St,0,3,YES,0,2,YES,85730,6163,18821,60746,Chevrolet,A5,1996,Y,1,
271,52,873483,10/22/10,NY,100/300,2000,1176.49,0,604601,MALE,PhD,priv-house-serv,dancing,husband,10438,-78067,07/01/15,Multi-vehicle Collision,Front Collision,Major Damage,Police,WV,Hillsdale,4175 5th Ridge,18,2,YES,1,3,YES,15664,1547,2858,11259,Mercedes,E400,1996,N,0,Coverage inadequate premium charged.
36,42,385863,07/24/13,SC,100/300,1000,1087.88,4000000,633387,FEMALE,Masters,armed-forces,skydiving,husband,74257,-76512,10/05/14,Vehicle Theft,Front Collision,Minor Damage,Police,WV,Springfield,8333 1st Ave,3,2,NO,0,2,?,60159,4504,13921,41734,Toyota,Highlander,2009,N,0,Excellent service quick settlement. Very satisfied!
185,23,597698,05/19/06,OH,100/300,2000,1827.99,5000000,428228,FEMALE,Associate,priv-house-serv,dancing,other-relative,16228,-69948,11/05/15,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,VA,Springfield,1604 4th St,13,2,NO,2,0,YES,50879,9714,3996,37169,Mercedes,RAM,2008,N,0,
292,34,789718,11/29/03,NC,250/500,2000,1411.78,0,503875,MALE,Masters,tech-support,sleeping,wife,53153,-64860,05/21/14,Multi-vehicle Collision,Front Collision,Minor Damage,Police,IN,Columbus,5538 Maple Drive,1,1,YES,1,3,NO,102670,12037,9686,80947,Honda,95,1995,N,0,
459,20,308577,06/29/96,NY,100/300,2000,1121.74,6000000,400083,FEMALE,PhD,armed-forces,board-games,unmarried,3931,-42700,09/19/15,Vehicle Theft,Rear Collision,Minor Damage,Ambulance,VA,Northbend,8634 Maple Drive,5,2,NO,0,2,YES,75172,12334,17792,45046,Chevrolet,Civic,2015,N,0,
